IP:PORT, LOSS, DELAY
162.159.195.19:4500,0.00%,252 ms
162.159.195.161:1843,0.00%,252 ms
162.159.192.116:500,0.00%,254 ms
162.159.195.33:4233,0.00%,255 ms
162.159.192.114:859,0.00%,256 ms
162.159.192.118:500,0.00%,256 ms
162.159.195.234:8319,0.00%,257 ms
162.159.192.57:859,0.00%,257 ms
162.159.195.70:4233,0.00%,257 ms
162.159.192.216:859,0.00%,258 ms
162.159.195.32:4233,0.00%,258 ms
162.159.195.155:8742,0.00%,259 ms
162.159.192.231:859,0.00%,260 ms
162.159.195.6:988,0.00%,260 ms
162.159.195.228:891,0.00%,260 ms
162.159.195.57:1074,0.00%,260 ms
162.159.195.155:1843,0.00%,260 ms
162.159.192.32:500,0.00%,260 ms
162.159.192.112:500,0.00%,260 ms
162.159.195.98:4233,0.00%,261 ms
162.159.195.88:4233,0.00%,261 ms
162.159.195.91:1074,0.00%,261 ms
162.159.195.143:8742,0.00%,261 ms
162.159.195.64:1074,0.00%,261 ms
162.159.195.59:1074,0.00%,261 ms
162.159.195.109:4233,0.00%,261 ms
162.159.195.254:2371,0.00%,261 ms
162.159.195.141:1843,0.00%,261 ms
162.159.192.74:859,0.00%,261 ms
162.159.192.145:500,0.00%,262 ms
162.159.192.5:859,0.00%,262 ms
162.159.195.93:1074,0.00%,262 ms
162.159.195.47:1074,0.00%,262 ms
162.159.192.76:500,0.00%,262 ms
162.159.192.126:500,0.00%,262 ms
162.159.192.161:859,0.00%,262 ms
162.159.195.158:8742,0.00%,262 ms
162.159.192.139:500,0.00%,263 ms
162.159.192.228:500,0.00%,263 ms
162.159.195.11:988,0.00%,263 ms
162.159.192.25:500,0.00%,263 ms
162.159.195.30:988,0.00%,263 ms
162.159.195.190:1843,0.00%,263 ms
162.159.195.7:988,0.00%,263 ms
162.159.192.115:500,0.00%,263 ms
162.159.195.165:1843,0.00%,264 ms
162.159.195.120:1843,0.00%,264 ms
162.159.195.121:8742,0.00%,264 ms
162.159.195.180:8742,0.00%,264 ms
162.159.195.213:7103,0.00%,264 ms
162.159.195.174:8742,0.00%,264 ms
162.159.192.90:859,0.00%,264 ms
162.159.195.125:8742,0.00%,264 ms
162.159.195.239:8319,0.00%,265 ms
162.159.192.44:859,0.00%,265 ms
162.159.192.105:500,0.00%,265 ms
162.159.195.230:8319,0.00%,265 ms
162.159.192.210:500,0.00%,265 ms
162.159.195.18:988,0.00%,265 ms
162.159.192.235:500,0.00%,265 ms
162.159.192.61:859,0.00%,265 ms
162.159.192.127:500,0.00%,265 ms
